sense-21093881,synset-72314,word-12005963,
sense-21012288,synset-22632,word-11008207,
sense-21085777-i2,synset-s21085777-d2,word-s21085777,
sense-21088290,synset-22508,word-12002619,
sense-21014706,synset-68923,word-11009837,
sense-21063114,synset-47182,word-11040207,
sense-21076503,synset-s21076503,word-s21076503,
sense-28112426,synset-58730,word-53004724,
sense-21085443,synset-42910,word-12000749,
sense-22029743,synset-60715,word-50009383,
sense-21009168,synset-12797,word-11006007,
sense-21033017,synset-1665,word-11021284,
sense-21008525,synset-28231,word-11005559,
sense-21037348,synset-64375,word-11023885,
sense-21046437,synset-21397,word-11029666,
sense-21037370-i1,synset-17019,word-11023894,
sense-21031025,synset-11813,word-11020066,
sense-21076486,synset-39158,word-11048262,
sense-22033922,synset-51002,word-53202395,
sense-21074403,synset-7336,word-11047222,
sense-21093035,synset-14817,word-12005388,
sense-21097275,synset-46697,word-12007986,
sense-21017782,synset-43154,word-11011866,
sense-21095816,synset-71897,word-12007078,
sense-21037811,synset-24348,word-11024193,
sense-21054991,synset-62904,word-11035084,
sense-21062056,synset-17435,word-11039501,
sense-21004512,synset-16156,word-11003090,
sense-21008699,synset-67339,word-11005676,
sense-21012357,synset-29391,word-11008264,
sense-21038085,synset-47506,word-11024374,
sense-21003679,synset-60791,word-11002480,
sense-21048502,synset-74691,word-11030898,
sense-91006876-i2,synset-48306,word-12000276,
sense-21025730,synset-12236,word-11016838,
sense-21074466,synset-30190,word-11047251,
sense-21005510,synset-3310,word-11003718,
sense-21015706,synset-78365,word-11010436,
sense-21004518,synset-2207,word-11003093,
sense-21053416,synset-59061,word-11034013,
sense-21018151,synset-57441,word-11012147,
sense-21059466-i2,synset-s21059466-d2,word-s21059466,
sense-21088345,synset-57032,word-12002636,
sense-21041529,synset-70862,word-11026640,
sense-21038445,synset-32201,word-11024626,
sense-21018672,synset-22980,word-11012388,
sense-28125242,synset-53396,word-53004637,
sense-21010365,synset-40109,word-11006730,
sense-21066286,synset-31322,word-11042355-7,
sense-21080426,synset-21313,word-11050526,
sense-21057759-i1,synset-48505,word-11036847,
sense-91003980,synset-5022,word-11031646-3,
sense-21079564,synset-40707,word-11050099,
sense-21037168,synset-18043,word-11023759,
sense-28125737,synset-56681,word-50009279,
sense-21009092,synset-2769,word-11005948,
sense-28073702,synset-58281,word-50007647,
sense-28049057,synset-50279,word-40002899,
sense-21079714,synset-57489,word-11050186,
sense-21074921,synset-27441,word-11047477,
sense-21065473,synset-58946,word-11041757,
sense-21085346,synset-47472,word-12000687,
sense-21079646,synset-10728,word-11050133,nu sj.
sense-21016717,synset-66756,word-11011159,
sense-22005923,synset-47538,word-50001697,
sense-21018661,synset-27212,word-11012381,
sense-28015003,synset-61375,word-50001269,
sense-28043957,synset-s28043957,word-s28043957,
sense-22019928,synset-72273,word-53200056,
sense-21061342,synset-40481,word-11039016,
sense-28094150,synset-62117,word-40004385,
sense-21087021,synset-39055,word-12001751,
sense-21042254,synset-46071,word-11027042,
sense-22032662,synset-55008,word-53005147,
sense-21066007,synset-64348,word-11042145,
sense-21020417,synset-70900,word-11013530,sj.
sense-21025824,synset-48407,word-11016882,
sense-21052079,synset-12227,word-11033063,
sense-91006680-i1,synset-17089,word-11051616,
sense-21041981,synset-48521,word-11026876,
sense-21038741,synset-60197,word-11024846,
sense-21078391,synset-33289,word-11049427,
sense-21091491-i2,synset-s21091491-d2,word-s21091491,
sense-21023979,synset-34049,word-11015756,
sense-21081887,synset-45907,word-11051288,
sense-21085137,synset-24942,word-12000513,
sense-21085427,synset-23355,word-12000741,
sense-21041716,synset-7071,word-11026733,
sense-22031760,synset-52711,word-53004976,
sense-21043819,synset-22050,word-11028001,
sense-21094488,synset-75078,word-12006310,
sense-21058689,synset-78152,word-11037386,
sense-22024901,synset-65038,word-53003715,
sense-21032544,synset-37340,word-11021033,
sense-21044402,synset-35306,word-11028367,
sense-28112309,synset-55844,word-53202091,
sense-21068369,synset-42903,word-11043627,
sense-21054585_21054589,synset-12821,word-11034853,
sense-21005297,synset-s21005297,word-s21005297,
sense-21017105,synset-3273,word-11011396,
sense-21095716,synset-17022,word-12007031,
sense-21074285,synset-50300,word-11047162,
sense-21071022,synset-57391,word-11045181,
sense-21013766,synset-72087,word-11009225,
sense-21053854,synset-2020,word-11034304,
sense-21044209,synset-74393,word-11028255,
sense-21018684,synset-47446,word-11012389,
sense-21054792,synset-1871,word-11034985,
sense-21057768,synset-54971,word-11036853,
sense-21011802,synset-29967,word-11007815,
sense-21054099,synset-1517,word-11034489,især i officielt sprog
sense-21052075,synset-37289,word-11033059,
sense-21033490,synset-45435,word-11021552-1,gl.
sense-21028883,synset-68840,word-11018803,
sense-21035620,synset-79064,word-11022796,
sense-21049186,synset-21830,word-11031323,
sense-21067379-i3,synset-77912,word-11043043,
sense-21087990,synset-79115,word-12002432,
sense-21093193,synset-29563,word-12005502,
sense-22025962,synset-54093,word-50008137,
sense-21048414,synset-77961,word-11030834,
sense-21068381,synset-5673,word-11043634,
sense-21055655,synset-11255,word-11035546,
sense-21033987,synset-24591,word-11021884,
sense-21069691,synset-62873,word-11044382,
sense-21048503,synset-6889,word-11030900,
sense-21066731,synset-44925,word-11042622,
sense-21087525,synset-26468,word-12002116,
sense-21007437,synset-40031,word-11004897,
sense-21031021,synset-31428,word-11020063,
sense-21055743,synset-32347,word-11035603,
sense-21021918,synset-71580,word-11014468-4,
sense-28044197,synset-66619,word-40002122,
sense-21078690,synset-43520,word-11049591,sj.
sense-21034507,synset-1749,word-11022199,
sense-21066542,synset-33669,word-11042524,
sense-21006434,synset-35574,word-11004243,
sense-28065152,synset-50767,word-50006795,
sense-21011280,synset-39079,word-11007339,
sense-21045192,synset-26784,word-11028884,
sense-28087489,synset-64161,word-50008887,
sense-21045444,synset-3479,word-11029052,
sense-22024867,synset-70343,word-50007839,
sense-21003357,synset-25702,word-11002242,
sense-21075000,synset-6089,word-11047531,
sense-21000681,synset-43960,word-11000451,
sense-21001228,synset-68574,word-11000805,
sense-22025156,synset-59218,word-50007923,
sense-21058711,synset-42309,word-11037397,
sense-91002157,synset-3432,word-11017390,
sense-21039853,synset-37139,word-11025596,
sense-21088138,synset-22237,word-12002534,
sense-21086867,synset-12932,word-12001660,
sense-21014288,synset-29976,word-11009580,gl.
sense-21050642,synset-59655,word-11032131,
sense-21094239,synset-s21094239,word-s21094239,
sense-28033670,synset-69255,word-30000154,
sense-22009121,synset-64663,word-53000727,
sense-22024789,synset-55467,word-53003694,
sense-21029836,synset-35145,word-11019425,
sense-22032215,synset-57599,word-53005072,
sense-21077270,synset-24328,word-11048778,
sense-21016000,synset-38537,word-11010632,
sense-21040213,synset-48535,word-11025839,
sense-21045093,synset-816,word-11028820,
sense-21038408,synset-496,word-11024597,
sense-21028109,synset-7595,word-11018348,
sense-22029069,synset-55360,word-53004395,
sense-91007412,synset-32016,word-12003909,
sense-21094276,synset-s21094276,word-s21094276,
sense-21043083-i1,synset-28287,word-11027556,
sense-21059784,synset-59989,word-11038009,
sense-21045775,synset-13725,word-11029259,
sense-21044510,synset-78728,word-11028432,
